cluster,Animal,Environment,Human,group,color
C329,1,0,0,Znone,white
C330,1,0,0,Znone,white
C331,0,1,0,Znone,white
C332,1,0,0,Znone,white
C333,0,1,0,Znone,white
C334,1,0,0,Znone,white
C335,0,0,1,Znone,white
C336,1,0,0,Znone,white
C337,1,0,0,Znone,white
C338,0,1,0,Znone,white
C339,1,0,0,Znone,white
C340,0,0,1,Znone,white
C341,0,0,3,Znone,white
C342,0,0,1,Znone,white
C343,0,1,0,Znone,white
C344,0,0,1,Znone,white
C345,0,0,21,Znone,white
C346,0,0,32,Znone,white
C347,0,0,1,Znone,white
C348,0,0,7,Znone,white
C349,0,0,2,Znone,white
C350,0,0,12,Znone,white
C351,0,0,4,Znone,white
C352,0,0,1,Znone,white
C353,0,0,2,Znone,white
C354,0,0,1,Znone,white
C355,0,0,5,Znone,white
C356,0,0,4,Znone,white
C357,0,0,2,Znone,white
C358,0,0,7,Znone,white
C359,0,0,1,Znone,white
C360,0,0,1,Znone,white
C361,0,0,1,Znone,white
C362,0,0,7,Znone,white
C363,0,0,3,Znone,white
C364,0,0,1,Znone,white
C365,0,0,2,Znone,white
C366,0,0,1,Znone,white
C367,0,0,3,Znone,white
C368,0,0,7,Znone,white
C369,0,0,3,Znone,white
C370,0,0,1,Znone,white
C371,0,0,4,Znone,white
C372,0,0,2,Znone,white
C373,0,0,4,Znone,white
C374,0,0,1,Znone,white
C375,0,0,1,Znone,white
C376,0,0,1,Znone,white
C377,0,0,1,Znone,white
C378,0,0,1,Znone,white
C379,0,0,1,Znone,white
C380,0,0,2,Znone,white
C381,0,0,1,Znone,white
C382,0,0,1,Znone,white
C383,0,0,2,Znone,white
C384,0,0,1,Znone,white
C385,0,0,1,Znone,white
C386,0,0,1,Znone,white
C387,0,0,1,Znone,white
