UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K06336,K16844
K06337,K16845
K06338,K16846
K06340,K16849
K06341,K16850
K06342,K16868
K06343,K16869
K06344,K16874
K06345,K16875
K06346,K16881
K06347,K16885
K06348,K16898
K06349,K16899
K06350,K16905
K06351,K16906
K06370,K16907
K06371,K16915
K06372,K16920
K06373,K16922
K06374,K16923
K06375,K16924
K06376,K16925
K06377,K16926
K06378,K16927
K06379,K16928
K06380,K16929
K06381,K16950
K06382,K16951
K06383,K16956
K06384,K16957
K06385,K16958
K06386,K16959
K06387,K16960
K06388,K16961
K06389,K16962
K06390,K16963
K06391,K17073
K06392,K17074
K06393,K17076
K06394,K17103
K06395,K17108
K06396,K17195
K06397,K17202
K06398,K17203
K06399,K17204
K06400,K17205
K06401,K17206
K06402,K17210
K06403,K17213
K06404,K17214
K06405,K17215
K06406,K17227
K06407,K17234
K06408,K17235
K06409,K17236
K06410,K17237
K06411,K17238
K06412,K17239
K06413,K17240
K06415,K17241
K06416,K17242
K06417,K17243
K06418,K17245
K06419,K17246
K06420,K17248
K06421,K17250
K06422,K17311
K06423,K17312
K06425,K17313
K06426,K17314
K06427,K17315
K06428,K17316
K06429,K17317
K06431,K17318
K06432,K17319
K06433,K17320
K06434,K17328
K06436,K17329
K06437,K17363
K06438,K17398
K06439,K17451
K06440,K17458
K06441,K17459
K06442,K17462
K06443,K17463
K06444,K17464
K06445,K17465
K06446,K17466
K06447,K17467
K06515,K17468
K06518,K17488
K06519,K17592
K06530,K17624
K06560,K17675
K06572,K17680
K06579,K17686
K06580,K17713
K06595,K17716
K06596,K17722
K06597,K17723
K06598,K17733
K06599,K17734
K06600,K17735
K06601,K17754
K06602,K17758
K06603,K17759
K06604,K17810
K06605,K17818
K06606,K17828
K06607,K17830
K06608,K17835
K06609,K17836
K06610,K17837
K06617,K17838
K06619,K17865
K06653,K17880
K06671,K17910
K06674,K17947
K06694,K17950
K06714,K17992
K06718,K18009
K06720,K18013
K06726,K18014
K06727,K18104
K06751,K18119
K06855,K18120
K06857,K18122
K06858,K18123
K06859,K18127
K06860,K18148
K06861,K18197
K06862,K18198
K06863,K18203
K06864,K18206
K06865,K18209
K06866,K18214
K06867,K18220
K06868,K18231
K06869,K18234
K06871,K18236
K06872,K18237
K06873,K18244
K06874,K18282
K06875,K18297
K06876,K18325
K06877,K18330
K06878,K18331
K06879,K18332
K06880,K18333
K06881,K18344
K06882,K18345
K06883,K18346
K06884,K18347
K06885,K18348
K06886,K18349
K06887,K18350
K06888,K18369
K06889,K18372
K06890,K18376
K06891,K18382
K06893,K18410
K06894,K18427
K06895,K18428
K06896,K18429
K06897,K18430
K06898,K18431
K06899,K18456
K06900,K18457
K06901,K18471
K06902,K18475
K06903,K18476
K06904,K18478
K06905,K18491
K06906,K18545
K06907,K18554
K06908,K18567
K06909,K18581
K06910,K18605
K06911,K18640
K06912,K18650
K06913,K18652
K06914,K18660
K06915,K18661
K06916,K18672
K06917,K18675
K06918,K18678
K06919,K18682
K06920,K18696
K06921,K18697
K06922,K18700
K06923,K18701
K06924,K18702
K06925,K18704
K06926,K18707
K06927,K18783
K06928,K18784
K06929,K18785
K06930,K18786
K06931,K18808
K06932,K18809
K06933,K18814
K06934,K18815
K06936,K18816
K06937,K18817
K06938,K18827
K06939,K18828
K06940,K18829
K06941,K18830
K06942,K18831
K06943,K18837
K06944,K18843
K06945,K18856
K06946,K18866
K06947,K18887
K06948,K18888
K06949,K18889
K06950,K18890
K06951,K18896
K06952,K18897
K06953,K18907
K06954,K18908
K06955,K18909
K06956,K18910
K06957,K18918
K06958,K18926
K06959,K18933
K06960,K18940
K06961,K18954
K06962,K18967
K06963,K18968
K06964,K18979
K06965,K18983
K06966,K18986
K06967,K18987
K06968,K18991
K06969,K18996
K06970,K18997
K06971,K19002
K06972,K19003
K06973,K19046
K06974,K19048
K06975,K19049
K06976,K19055
K06977,K19056
K06978,K19064
K06979,K19068
K06980,K19070
K06981,K19075
K06982,K19076
K06983,K19081
K06984,K19082
K06985,K19083
K06986,K19084
K06987,K19088
K06988,K19090
K06989,K19091
K06990,K19092
K06991,K19114
K06992,K19115
K06993,K19116
K06994,K19117
K06995,K19118
K06996,K19119
K06997,K19123
K06998,K19124
K06999,K19125
K07000,K19126
K07001,K19134
K07002,K19137
K07003,K19138
K07004,K19139
K07005,K19140
K07006,K19141
K07007,K19142
K07008,K19147
K07009,K19157
K07010,K19158
K07011,K19159
K07012,K19165
K07013,K19167
K07014,K19168
K07015,K19169
K07016,K19170
K07017,K19171
K07018,K19172
K07019,K19173
K07020,K19174
K07022,K19175
K07023,K19180
K07024,K19200
K07025,K19209
K07026,K19213
K07027,K19221
K07028,K19222
K07029,K19223
K07030,K19224
K07031,K19225
K07032,K19231
K07033,K19242
K07034,K19244
K07035,K19265
K07037,K19267
K07038,K19268
K07039,K19270
K07040,K19271
K07041,K19272
K07042,K19273
K07043,K19285
K07044,K19286
K07045,K19294
K07046,K19299
K07048,K19300
K07049,K19302
K07050,K19303
K07051,K19304
K07052,K19309
K07053,K19310
K07054,K19333
K07055,K19334
K07056,K19338
K07057,K19340
K07058,K19341
K07059,K19350
K07060,K19354
K07061,K19355
K07062,K19405
K07063,K19411
K07064,K19417
K07065,K19418
K07066,K19419
K07067,K19422
K07068,K19423
K07069,K19424
K07070,K19425
K07071,K19426
K07072,K19427
K07074,K19428
K07075,K19429
K07076,K19431
K07077,K19449
K07078,K19504
K07079,K19505
K07080,K19506
K07081,K19507
K07082,K19508
K07083,K19509
K07084,K19510
K07085,K19515
K07086,K19540
K07088,K19545
K07089,K19547
K07090,K19548
K07091,K19550
K07092,K19563
K07093,K19569
K07094,K19572
K07095,K19575
K07096,K19577
K07097,K19615
K07098,K19617
K07099,K19626
K07100,K19647
K07101,K19668
K07102,K19689
K07103,K19693
K07104,K19701
K07105,K19703
K07106,K19707
K07107,K19709
K07108,K19710
K07109,K19715
K07110,K19745
K07112,K19779
K07113,K19784
K07114,K19799
K07115,K19802
K07116,K19814
K07117,K19824
K07118,K19872
K07119,K19883
K07120,K19954
K07121,K19955
K07122,K19956
K07123,K19974
K07124,K19976
K07125,K19979
K07126,K19997
K07127,K20021
K07128,K20023
K07129,K20025
K07130,K20026
K07131,K20037
K07132,K20038
K07133,K20073
K07134,K20074
K07135,K20107
K07136,K20108
K07137,K20109
K07138,K20114
K07139,K20116
K07140,K20117
K07141,K20118
K07142,K20148
K07143,K20151
K07144,K20182
K07145,K20201
K07146,K20260
K07147,K20265
K07148,K20266
K07149,K20276
K07150,K20306
K07151,K20332
K07152,K20342
K07153,K20344
K07154,K20345
K07155,K20373
K07156,K20374
K07157,K20384
K07158,K20385
K07159,K20386
K07160,K20388
K07161,K20391
K07162,K20426
K07163,K20428
K07164,K20429
K07165,K20431
K07166,K20432
K07167,K20433
K07168,K20438
K07169,K20444
K07171,K20445
K07172,K20446
K07173,K20447
K07175,K20448
K07176,K20449
K07177,K20451
K07178,K20452
K07179,K20453
K07180,K20454
K07181,K20459
K07182,K20460
K07183,K20461
K07184,K20468
K07186,K20480
K07189,K20482
K07190,K20483
K07192,K20484
K07198,K20485
K07200,K20486
K07212,K20487
K07213,K20488
K07214,K20489
K07215,K20490
K07216,K20491
K07217,K20492
K07218,K20529
K07219,K20530
K07220,K20534
K07221,K20541
K07222,K20609
K07223,K20611
K07224,K20626
K07225,K20627
K07226,K20656
K07227,K20708
K07228,K20742
K07229,K20754
K07230,K20765
K07231,K20810
K07232,K20811
K07233,K20829
K07234,K20846
K07235,K20847
K07236,K20859
K07237,K20862
K07238,K20863
K07239,K20866
K07240,K20882
K07241,K20885
K07242,K20903
K07243,K20904
K07244,K20919
K07245,K20941
K07246,K20957
K07248,K20972
K07250,K20976
K07251,K20978
K07253,K20989
K07254,K21001
K07255,K21005
K07256,K21006
K07257,K21009
K07258,K21010
K07259,K21011
K07260,K21012
K07261,K21021
K07262,K21022
K07263,K21028
K07264,K21029
K07265,K21030
K07266,K21053
K07267,K21063
K07268,K21064
K07269,K21065
K07270,K21071
K07271,K21105
K07272,K21116
K07273,K21140
K07274,K21147
K07275,K21196
K07276,K21252
K07277,K21276
K07278,K21285
K07279,K21298
K07280,K21303
K07281,K21305
K07282,K21328
K07283,K21344
K07284,K21349
K07285,K21350
K07286,K21355
K07287,K21367
K07288,K21379
K07289,K21393
K07290,K21394
K07291,K21395
K07300,K21397
K07301,K21399
K07302,K21400
K07303,K21405
K07304,K21416
K07305,K21417
K07306,K21429
K07307,K21440
K07308,K21449
K07309,K21453
K07310,K21459
K07311,K21462
K07312,K21464
K07313,K21467
K07314,K21469
K07315,K21470
K07316,K21471
K07317,K21472
K07318,K21478
K07319,K21479
K07320,K21480
K07321,K21481
K07322,K21487
K07323,K21488
K07324,K21489
K07325,K21490
K07326,K21491
K07327,K21492
K07328,K21493
K07329,K21494
K07330,K21495
K07331,K21498
K07332,K21558
K07333,K21559
K07334,K21562
K07335,K21571
K07336,K21572
K07337,K21576
K07338,K21577
K07339,K21578
K07340,K21579
K07341,K21583
K07342,K21584
K07343,K21592
K07344,K21600
K07345,K21613
K07346,K21619
K07347,K21636
K07348,K21672
K07349,K21680
K07350,K21681
K07351,K21686
K07352,K21687
K07353,K21688
K07354,K21689
K07355,K21690
K07356,K21691
K07357,K21701
K07358,K21721
K07359,K21743
K07378,K21744
K07386,K21755
K07387,K21757
K07388,K21759
K07389,K21786
K07390,K21813
K07391,K21825
K07392,K21831
K07393,K21832
K07394,K21867
K07395,K21884
K07396,K21898
K07397,K21900
K07398,K21901
K07399,K21902
K07400,K21903
K07401,K21909
K07402,K21910
K07403,K21929
K07404,K21936
K07405,K21948
K07406,K21949
K07407,K21959
K07408,K21960
K07442,K21962
K07443,K21977
K07444,K21993
K07445,K22010
K07446,K22015
K07447,K22024
K07448,K22026
K07449,K22043
K07450,K22044
K07451,K22051
K07452,K22100
K07453,K22103
K07454,K22105
K07455,K22106
K07456,K22116
K07457,K22129
K07458,K22130
K07459,K22132
K07460,K22133
K07461,K22205
K07462,K22212
K07463,K22213
K07464,K22222
K07465,K22224
K07466,K22226
K07467,K22227
K07468,K22230
K07469,K22231
K07470,K22232
K07471,K22233
K07473,K22245
K07474,K22251
K07475,K22252
K07476,K22268
K07477,K22278
K07478,K22293
K07479,K22298
K07480,K22299
K07481,K22300
K07482,K22305
K07483,K22319
K07484,K22335
K07485,K22339
K07486,K22340
K07487,K22341
K07488,K22348
K07489,K22349
K07490,K22350
K07491,K22352
K07492,K22373
K07493,K22397
K07494,K22405
K07495,K22409
K07496,K22430
K07497,K22431
K07498,K22432
K07499,K22441
K07500,K22445
K07501,K22476
K07502,K22477
K07503,
K07504,
K07505,
K07506,
K07507,
K07508,
K07512,
K07513,
K07516,
K07518,
K07528,
K07529,
K07533,
K07534,
K07535,
K07536,
K07537,
K07538,
K07539,
K07541,
K07543,
K07544,
K07546,
K07549,
K07552,
K07556,
K07557,
K07558,
K07559,
K07560,
K07561,
K07562,
K07566,
K07568,
K07569,
K07570,
K07571,
K07572,
K07573,
K07574,
K07575,
K07576,
K07577,
K07578,
K07579,
K07580,
K07581,
K07583,
K07584,
K07585,
K07586,
K07587,
K07588,
K07589,
K07590,
K07591,
K07592,
K07623,
K07636,
K07637,
K07638,
K07639,
K07640,
K07641,
K07642,
K07643,
K07644,
K07645,
K07646,
K07647,
K07648,
K07649,
K07650,
K07651,
K07652,
K07653,
K07654,
K07655,
K07662,
K07666,
K07667,
K07668,
K07669,
K07673,
K07674,
K07675,
K07676,
K07677,
K07678,
K07679,
K07680,
K07681,
K07682,
K07683,
K07684,
K07685,
K07686,
K07687,
K07688,
K07689,
K07690,
K07691,
K07692,
K07693,
K07694,
K07695,
K07696,
K07697,
K07698,
K07699,
K07700,
K07701,
K07702,
K07703,
K07704,
K07705,
K07706,
K07707,
K07708,
K07709,
K07710,
K07711,
K07712,
K07713,
K07714,
K07715,
K07716,
K07717,
K07718,
K07719,
K07720,
K07721,
K07722,
K07723,
K07724,
K07725,
K07726,
K07727,
K07728,
K07729,
K07730,
K07731,
K07732,
K07733,
K07734,
K07735,
K07736,
K07738,
K07739,
K07740,
K07741,
K07742,
K07743,
K07744,
K07745,
K07746,
K07749,
K07751,
K07752,
K07755,
K07757,
K07761,
K07763,
K07766,
K07768,
K07769,
K07777,
K07778,
K07780,
K07781,
K07782,
K07783,
K07784,
K07785,
K07786,
K07787,
K07788,
K07789,
K07790,
K07791,
K07792,
K07793,
K07794,
K07795,
K07796,
K07797,
K07798,
K07799,
K07800,
K07803,
K07804,
K07805,
K07806,
K07807,
K07809,
K07810,
K07811,
K07812,
K07813,
K07814,
K07816,
K07821,
K07822,
K07823,
K07862,
K07881,
K07889,
K07891,
K07901,
K07915,
K07964,
K07976,
K07978,
K07979,
K07991,
K07994,
K07997,
K07999,
K08002,
K08003,
K08005,
K08006,
K08055,
K08065,
K08068,
K08070,
K08073,
K08075,
K08076,
K08077,
K08080,
K08081,
K08082,
K08083,
K08084,
K08085,
K08086,
K08087,
K08088,
K08092,
K08093,
K08094,
K08095,
K08096,
K08097,
K08100,
K08104,
K08132,
K08137,
K08138,
K08139,
K08150,
K08151,
K08152,
K08153,
K08154,
K08156,
K08159,
K08160,
K08161,
K08162,
K08163,
K08164,
K08166,
K08167,
K08168,
K08169,
K08170,
K08172,
K08173,
K08174,
K08176,
K08177,
K08178,
K08191,
K08193,
K08194,
K08195,
K08196,
K08217,
K08218,
K08219,
K08220,
K08221,
K08222,
K08223,
K08224,
K08225,
K08226,
K08227,
K08234,
K08239,
K08244,
K08252,
K08253,
K08254,
K08255,
K08256,
K08257,
K08258,
K08259,
K08260,
K08261,
K08264,
K08267,
K08269,
K08276,
K08277,
K08279,
K08280,
K08281,
K08282,
K08286,
K08287,
K08289,
K08295,
K08296,
K08297,
K08298,
K08299,
K08300,
K08301,
K08302,
K08303,
K08304,
K08305,
K08306,
K08307,
K08308,
K08309,
K08310,
K08311,
K08312,
K08313,
K08314,
K08315,
K08316,
K08317,
K08318,
K08319,
K08320,
K08321,
K08322,
K08323,
K08324,
K08325,
K08326,
K08344,
K08348,
K08349,
K08350,
K08351,
K08352,
K08353,
K08354,
K08355,
K08356,
K08357,
K08358,
K08359,
K08363,
K08364,
K08365,
K08368,
K08369,
K08372,
K08384,
K08475,
K08476,
K08477,
K08478,
K08481,
K08482,
K08483,
K08484,
K08485,
K08507,
K08566,
K08568,
K08586,
K08587,
K08589,
K08591,
K08598,
K08599,
K08600,
K08602,
K08603,
K08604,
K08605,
K08621,
K08624,
K08630,
K08632,
K08640,
K08641,
K08642,
K08643,
K08646,
K08647,
K08651,
K08652,
K08654,
K08659,
K08660,
K08669,
K08672,
K08675,
K08676,
K08677,
K08678,
K08679,
K08680,
K08681,
K08682,
K08685,
K08687,
K08688,
K08691,
K08692,
K08693,
K08695,
K08696,
K08697,
K08698,
K08699,
K08700,
K08713,
K08714,
K08715,
K08716,
K08717,
K08720,
K08721,
K08722,
K08723,
K08724,
K08726,
K08728,
K08734,
K08738,
K08744,
K08765,
K08770,
K08776,
K08777,
K08780,
K08784,
K08786,
K08794,
K08798,
K08802,
K08821,
K08827,
K08838,
K08849,
K08851,
K08857,
K08867,
K08869,
K08884,
K08900,
K08906,
K08926,
K08927,
K08928,
K08929,
K08930,
K08939,
K08941,
K08942,
K08952,
K08953,
K08954,
K08955,
K08956,
K08961,
K08963,
K08964,
K08965,
K08966,
K08967,
K08968,
K08969,
K08970,
K08971,
K08972,
K08973,
K08974,
K08975,
K08976,
K08977,
K08978,
K08979,
K08980,
K08981,
K08982,
K08983,
K08984,
K08985,
K08986,
K08987,
K08988,
K08989,
K08990,
K08992,
K08993,
K08994,
K08995,
K08996,
K08997,
K08998,
K08999,
K09000,
K09001,
K09002,
K09003,
K09004,
K09005,
K09006,
K09007,
K09009,
K09010,
K09011,
K09013,
K09014,
K09015,
K09016,
K09017,
K09018,
K09019,
K09020,
K09021,
K09022,
K09023,
K09024,
K09065,
K09116,
K09117,
K09118,
K09119,
K09120,
K09121,
K09122,
K09123,
K09124,
K09125,
K09126,
K09127,
K09128,
K09129,
K09131,
K09132,
K09133,
K09134,
K09136,
K09137,
K09138,
K09139,
K09140,
K09141,
K09142,
K09143,
K09144,
K09145,
K09146,
K09147,
K09148,
K09149,
K09150,
K09152,
K09153,
K09154,
K09155,
K09156,
K09157,
K09158,
K09159,
K09160,
K09161,
K09163,
K09164,
K09165,
K09166,
K09167,
K09181,
K09190,
K09247,
K09250,
K09251,
K09252,
K09258,
K09384,
K09386,
K09388,
K09456,
K09457,
K09458,
K09459,
K09461,
K09469,
K09470,
K09471,
K09472,
K09473,
K09474,
K09475,
K09476,
K09477,
K09478,
K09482,
K09483,
K09488,
K09490,
K09494,
K09502,
K09503,
K09505,
K09507,
K09508,
K09509,
K09510,
K09511,
K09512,
K09516,
K09523,
K09524,
K09525,
K09527,
K09530,
K09536,
K09552,
K09553,
K09572,
K09575,
K09580,
K09582,
K09583,
K09584,
K09607,
K09609,
K09612,
K09613,
K09640,
K09650,
K09655,
K09667,
K09680,
K09681,
K09682,
K09683,
K09684,
K09685,
K09688,
K09689,
K09690,
K09691,
K09692,
K09693,
K09694,
K09695,
K09696,
K09697,
K09698,
K09699,
K09700,
K09701,
K09702,
K09703,
K09704,
K09705,
K09706,
K09707,
K09709,
K09710,
K09711,
K09712,
K09713,
K09714,
K09715,
K09716,
K09717,
K09718,
K09720,
K09721,
K09722,
K09723,
K09724,
K09725,
K09726,
K09727,
K09728,
K09729,
K09730,
K09731,
K09732,
K09733,
K09735,
K09736,
K09737,
K09738,
K09739,
K09740,
K09741,
K09743,
K09744,
K09746,
K09747,
K09748,
K09749,
K09758,
K09759,
K09760,
K09761,
K09762,
K09763,
K09764,
K09765,
K09766,
K09767,
K09768,
K09769,
K09770,
K09771,
K09772,
K09773,
K09774,
K09775,
K09776,
K09777,
K09778,
K09779,
K09780,
K09781,
K09785,
K09786,
K09787,
K09788,
K09789,
K09790,
K09791,
K09792,
K09793,
K09794,
K09795,
K09796,
K09797,
K09798,
K09799,
K09800,
K09801,
K09802,
K09803,
K09804,
K09805,
K09806,
K09807,
K09808,
K09809,
K09810,
K09811,
K09812,
K09813,
K09814,
K09815,
K09816,
K09817,
K09818,
K09819,
K09820,
K09822,
K09823,
K09824,
K09825,
K09826,
K09828,
K09831,
K09834,
K09835,
K09844,
K09845,
K09846,
K09857,
K09858,
K09859,
K09860,
K09861,
K09862,
K09873,
K09874,
K09876,
K09877,
K09879,
K09880,
K09882,
K09883,
K09887,
K09888,
K09889,
K09890,
K09891,
K09892,
K09893,
K09894,
K09895,
K09896,
K09897,
K09898,
K09899,
K09900,
K09901,
K09902,
K09903,
K09904,
K09906,
K09907,
K09908,
K09909,
K09910,
K09911,
K09912,
K09913,
K09914,
K09915,
K09916,
K09917,
K09918,
K09919,
K09920,
K09921,
K09922,
K09923,
K09924,
K09925,
K09926,
K09927,
K09928,
K09929,
K09930,
K09931,
K09932,
K09933,
K09934,
K09935,
K09936,
K09937,
K09938,
K09939,
K09940,
K09941,
K09942,
K09943,
K09944,
K09945,
K09946,
K09947,
K09948,
K09949,
K09950,
K09951,
K09952,
K09953,
K09954,
K09955,
K09956,
K09957,
K09958,
K09959,
K09960,
K09961,
K09962,
K09963,
K09964,
K09965,
K09966,
K09967,
K09968,
K09969,
K09970,
K09971,
K09972,
K09973,
K09974,
K09975,
K09976,
K09977,
K09978,
K09979,
K09980,
K09981,
K09982,
K09983,
K09984,
K09985,
K09986,
K09987,
K09988,
K09989,
K09990,
K09991,
K09992,
K09994,
K09996,
K09997,
K09998,
K09999,
K10000,
K10001,
K10002,
K10003,
K10004,
K10005,
K10006,
K10007,
K10008,
K10009,
K10010,
K10011,
K10012,
K10013,
K10014,
K10015,
K10016,
K10017,
K10018,
K10019,
K10020,
K10021,
K10022,
K10023,
K10024,
K10025,
K10026,
K10027,
K10028,
K10036,
K10037,
K10038,
K10039,
K10040,
K10041,
K10056,
K10071,
K10072,
K10085,
K10089,
K10094,
K10107,
K10108,
K10109,
K10110,
K10111,
K10112,
K10117,
K10118,
K10119,
K10120,
K10121,
K10122,
K10123,
K10124,
K10125,
K10126,
K10150,
K10175,
K10187,
K10188,
K10189,
K10190,
K10191,
K10192,
K10193,
K10194,
K10195,
K10196,
K10197,
K10198,
K10200,
K10201,
K10202,
K10206,
K10208,
K10209,
K10210,
K10211,
K10212,
K10213,
K10215,
K10216,
K10217,
K10218,
K10219,
K10220,
K10221,
K10222,
K10227,
K10228,
K10229,
K10231,
K10232,
K10233,
K10234,
K10236,
K10237,
K10238,
K10240,
K10241,
K10242,
K10251,
K10253,
K10254,
K10255,
K10277,
K10297,
K10336,
K10348,
K10352,
K10353,
K10356,
K10359,
K10360,
K10380,
K10400,
K10402,
K10408,
K10439,
K10440,
K10441,
K10445,
K10458,
K10465,
K10466,
K10530,
K10531,
K10533,
K10536,
K10537,
K10538,
K10539,
K10540,
K10541,
K10542,
K10543,
K10544,
K10545,
K10546,
K10547,
K10548,
K10549,
K10550,
K10551,
K10552,
K10553,
K10554,
K10555,
K10556,
K10557,
K10558,
K10559,
K10560,
K10561,
K10562,
K10563,
K10564,
K10565,
K10614,
K10616,
K10619,
K10621,
K10622,
K10623,
K10670,
K10671,
K10672,
K10673,
K10674,
K10676,
K10677,
K10678,
K10679,
K10680,
K10681,
K10685,
K10686,
K10700,
K10701,
K10702,
K10704,
K10705,
K10708,
K10709,
K10710,
K10711,
K10713,
K10714,
K10715,
K10716,
K10718,
K10719,
K10725,
K10726,
K10742,
K10747,
K10748,
K10754,
K10761,
K10762,
K10763,
K10764,
K10770,
K10771,
K10773,
K10774,
K10775,
K10777,
K10778,
K10793,
K10794,
K10795,
K10796,
K10797,
K10798,
K10799,
K10800,
K10804,
K10805,
K10806,
K10808,
K10810,
K10811,
K10814,
K10815,
K10816,
K10817,
K10819,
K10820,
K10822,
K10823,
K10824,
K10826,
K10830,
K10831,
K10834,
K10837,
K10843,
K10844,
K10848,
K10850,
K10851,
K10852,
K10854,
K10855,
K10856,
K10857,
K10873,
K10882,
K10896,
K10900,
K10901,
K10906,
K10907,
K10908,
K10909,
K10910,
K10911,
K10912,
K10913,
K10914,
K10915,
K10916,
K10917,
K10918,
K10920,
K10921,
K10922,
K10923,
K10924,
K10925,
K10926,
K10927,
K10928,
K10930,
K10931,
K10932,
K10933,
K10934,
K10936,
K10937,
K10938,
K10939,
K10940,
K10941,
K10942,
K10943,
K10944,
K10945,
K10946,
K10947,
K10948,
K10952,
K10953,
K10954,
K10960,
K10961,
K10962,
K10964,
K10965,
K10966,
K10967,
K10972,
K10973,
K10974,
K10975,
K10977,
K10978,
K10979,
K10984,
K10985,
K10986,
K11003,
K11004,
K11005,
K11008,
K11009,
K11013,
K11014,
K11015,
K11016,
K11017,
K11018,
K11020,
K11021,
K11022,
K11023,
K11029,
K11031,
K11032,
K11033,
K11034,
K11035,
K11037,
K11038,
K11040,
K11041,
K11044,
K11045,
K11050,
K11051,
K11053,
K11054,
K11055,
K11059,
K11060,
K11061,
K11062,
K11063,
K11064,
K11065,
K11066,
K11068,
K11069,
K11070,
K11071,
K11072,
K11073,
K11074,
K11075,
K11076,
K11077,
K11078,
K11081,
K11082,
K11083,
K11084,
K11085,
K11089,
K11093,
K11102,
K11103,
K11104,
K11105,
K11106,
K11107,
K11127,
K11130,
K11131,
K11139,
K11144,
K11145,
K11151,
K11153,
K11159,
K11161,
K11162,
K11168,
K11173,
K11175,
K11176,
K11177,
K11178,
K11179,
K11180,
K11181,
K11183,
K11184,
K11189,
K11191,
K11192,
K11194,
K11195,
K11196,
K11198,
K11199,
K11200,
K11201,
K11202,
K11203,
K11206,
K11208,
K11209,
K11210,
K11211,
K11212,
K11214,
K11216,
K11237,
K11238,
K11249,
K11250,
K11253,
K11258,
K11260,
K11261,
K11263,
K11264,
K11265,
K11275,
K11294,
K11311,
K11312,
K11320,
K11321,
K11325,
K11326,
K11327,
K11328,
K11333,
K11334,
K11335,
K11336,
K11337,
K11340,
K11355,
K11356,
K11358,
K11381,
K11382,
K11383,
K11384,
K11385,
K11386,
K11387,
K11389,
K11391,
K11392,
K11400,
K11410,
K11414,
K11418,
K11420,
K11426,
K11434,
K11440,
K11441,
K11442,
K11443,
K11444,
K11447,
K11472,
K11473,
K11474,
K11475,
K11476,
K11477,
K11493,
K11494,
K11499,
K11520,
K11522,
K11524,
K11525,
K11526,
K11527,
K11528,
K11529,
K11530,
K11531,
K11532,
K11533,
K11534,
K11535,
K11537,
K11540,
K11563,
K11582,
K11591,
K11592,
K11593,
K11600,
K11601,
K11602,
K11603,
K11604,
K11605,
K11606,
K11607,
K11608,
K11609,
K11611,
K11614,
K11615,
K11616,
K11617,
K11618,
K11619,
K11620,
K11621,
K11622,
K11623,
K11624,
K11625,
K11626,
K11627,
K11628,
K11629,
K11631,
K11632,
K11635,
K11636,
K11637,
K11638,
K11639,
K11640,
K11641,
K11645,
K11646,
K11649,
K11652,
K11654,
K11662,
K11665,
K11685,
K11686,
K11688,
K11689,
K11690,
K11691,
K11692,
K11693,
K11694,
K11695,
K11703,
K11704,
K11705,
K11706,
K11707,
K11708,
K11709,
K11710,
K11711,
K11712,
K11717,
K11719,
K11720,
K11729,
K11731,
K11732,
K11733,
K11734,
K11735,
K11736,
K11737,
K11738,
K11739,
K11740,
K11741,
K11742,
K11743,
K11744,
K11745,
K11746,
K11747,
K11748,
K11749,
K11750,
K11751,
K11752,
K11753,
K11754,
K11755,
K11772,
K11777,
K11779,
K11780,
K11781,
K11782,
K11783,
K11784,
K11785,
K11786,
K11787,
K11788,
K11798,
K11800,
K11808,
K11811,
K11814,
K11815,
K11853,
K11855,
K11857,
K11886,
K11890,
K11891,
K11892,
K11893,
K11894,
K11895,
K11896,
K11897,
K11898,
K11899,
K11900,
K11901,
K11902,
K11903,
K11904,
K11905,
K11906,
K11907,
K11908,
K11909,
K11910,
K11911,
K11912,
K11913,
K11914,
K11915,
K11917,
K11918,
K11919,
K11920,
K11921,
K11922,
K11923,
K11924,
K11925,
K11926,
K11927,
K11928,
K11929,
K11930,
K11931,
K11932,
K11933,
K11934,
K11935,
K11936,
K11937,
K11938,
K11939,
K11940,
K11941,
K11942,
K11943,
K11945,
K11947,
K11949,
K11950,
K11952,
K11953,
K11954,
K11955,
K11956,
K11957,
K11958,
K11959,
K11960,
K11961,
K11962,
K11963,
K11987,
K11991,
K11996,
K11997,
K12037,
K12048,
K12049,
K12050,
K12052,
K12053,
K12055,
K12056,
K12057,
K12058,
K12059,
K12060,
K12061,
K12062,
K12063,
K12064,
K12065,
K12066,
K12067,
K12068,
K12069,
K12070,
K12071,
K12072,
K12073,
K12078,
K12079,
K12080,
K12081,
K12082,
K12083,
K12085,
K12088,
K12089,
K12090,
K12092,
K12093,
K12095,
K12096,
K12108,
K12111,
K12112,
K12113,
K12127,
K12129,
K12130,
K12132,
K12136,
K12137,
K12138,
K12139,
K12140,
K12141,
K12142,
K12143,
K12144,
K12145,
K12146,
K12147,
K12148,
K12149,
K12151,
K12152,
K12158,
K12164,
K12196,
K12202,
K12203,
K12204,
K12205,
K12206,
K12209,
K12210,
K12211,
K12212,
K12213,
K12214,
K12216,
K12217,
K12218,
K12222,
K12227,
K12228,
K12234,
K12237,
K12238,
K12239,
K12240,
K12241,
K12242,
K12243,
K12248,
K12251,
K12252,
K12253,
K12254,
K12255,
K12256,
K12257,
K12262,
K12263,
K12264,
K12265,
K12266,
K12267,
K12268,
K12269,
K12270,
K12271,
K12272,
K12276,
K12277,
K12278,
K12279,
K12280,
K12281,
K12282,
K12283,
K12285,
K12286,
K12287,
K12288,
K12289,
K12290,
K12291,
K12292,
K12293,
