UHGP_Ko,Lachnospiraceae_Human_GI_Ko
K00951,K01617
K00952,K01619
K00954,K01620
K00955,K01621
K00956,K01623
K00957,K01624
K00958,K01625
K00960,K01626
K00962,K01627
K00963,K01628
K00965,K01629
K00966,K01630
K00968,K01631
K00969,K01635
K00970,K01639
K00971,K01640
K00972,K01641
K00973,K01643
K00974,K01644
K00975,K01646
K00978,K01647
K00979,K01649
K00980,K01652
K00981,K01653
K00982,K01654
K00983,K01657
K00984,K01658
K00986,K01661
K00988,K01662
K00989,K01664
K00990,K01665
K00991,K01666
K00992,K01667
K00993,K01668
K00994,K01669
K00995,K01673
K00996,K01677
K00997,K01678
K00998,K01679
K00999,K01681
K01000,K01683
K01001,K01684
K01002,K01685
K01003,K01686
K01004,K01687
K01006,K01689
K01007,K01692
K01008,K01693
K01011,K01695
K01012,K01696
K01014,K01697
K01023,K01698
K01026,K01699
K01027,K01703
K01028,K01704
K01029,K01706
K01031,K01708
K01032,K01709
K01034,K01710
K01035,K01711
K01039,K01712
K01040,K01713
K01042,K01714
K01044,K01715
K01045,K01719
K01046,K01724
K01048,K01725
K01049,K01727
K01050,K01728
K01051,K01729
K01053,K01730
K01054,K01733
K01055,K01734
K01056,K01735
K01057,K01736
K01058,K01737
K01060,K01738
K01061,K01739
K01063,K01740
K01066,K01744
K01067,K01745
K01069,K01746
K01070,K01749
K01071,K01750
K01073,K01751
K01075,K01752
K01077,K01753
K01078,K01754
K01079,K01755
K01081,K01756
K01082,K01758
K01083,K01759
K01085,K01760
K01086,K01761
K01087,K01768
K01089,K01770
K01090,K01771
K01091,K01775
K01092,K01776
K01093,K01777
K01095,K01778
K01096,K01779
K01101,K01782
K01104,K01783
K01111,K01784
K01113,K01785
K01114,K01787
K01115,K01788
K01117,K01790
K01118,K01791
K01119,K01795
K01120,K01799
K01121,K01802
K01126,K01803
K01127,K01804
K01128,K01805
K01129,K01807
K01130,K01808
K01132,K01809
K01133,K01810
K01134,K01811
K01135,K01812
K01136,K01813
K01137,K01814
K01138,K01815
K01139,K01816
K01141,K01817
K01142,K01818
K01143,K01819
K01144,K01820
K01146,K01821
K01147,K01823
K01150,K01834
K01151,K01835
K01152,K01838
K01153,K01839
K01154,K01840
K01155,K01841
K01156,K01843
K01158,K01845
K01159,K01846
K01160,K01854
K01161,K01856
K01163,K01857
K01165,K01858
K01166,K01866
K01167,K01867
K01169,K01868
K01170,K01869
K01173,K01870
K01174,K01872
K01175,K01873
K01176,K01874
K01178,K01875
K01179,K01876
K01181,K01880
K01182,K01881
K01183,K01883
K01184,K01885
K01185,K01886
K01186,K01887
K01187,K01889
K01188,K01890
K01190,K01892
K01191,K01893
K01192,K01895
K01193,K01897
K01194,K01902
K01195,K01903
K01197,K01905
K01198,K01906
K01200,K01910
K01201,K01911
K01202,K01912
K01205,K01914
K01206,K01915
K01207,K01916
K01208,K01918
K01209,K01919
K01210,K01921
K01212,K01923
K01213,K01924
K01214,K01925
K01215,K01926
K01216,K01928
K01218,K01929
K01219,K01932
K01220,K01933
K01222,K01934
K01223,K01935
K01224,K01937
K01226,K01938
K01227,K01939
K01229,K01940
